"term"	"term_count"
"a-p---fgc"	5
"a-p---mas"	5
"a-p---mds"	5
"n-----na-"	5
"n-d---ma-"	5
"n-s---c--"	5
"p1s---md-"	5
"p3s---ng-"	5
"v--fnp---"	5
"v-papang-"	5
"v-papmfa-"	5
"v-papmfg-"	5
"v-pfpamn-"	5
"v-pfpmna-"	5
"v-sappfd-"	5
"v-sfpama-"	5
"v-srpang-"	5
"v2spoa---"	5
"v3ppoa---"	5
"a-s----g-"	6
"l-p---nv-"	6
"m-p----a-"	6
"n-p----n-"	6
"n-p---cv-"	6
"p3s---fa-"	6
"v-sapang-"	6
"v1paop---"	6
"v2prmm---"	6
"v3slip---"	6
"a-p---fv-"	7
"a-s---fgs"	7
"a-s---mas"	7
"a-s---ngs"	7
"a-s---nns"	7
"a-s---nv-"	7
"l-p---fv-"	7
"n-----fa-"	7
"n-d---fa-"	7
"p2p---mg-"	7
"p3s---fg-"	7
"v-papmfn-"	7
"v-pappfn-"	7
"v-pappnd-"	7
"v-sapmng-"	7
"v-srpafg-"	7
"v2prsa---"	7
"v2srsa---"	7
"a-p---mgs"	8
"a-s---fds"	8
"n-----fn-"	8
"n-d---fn-"	8
"n-s----v-"	8
"v-sapafd-"	8
"v-sapana-"	8
"v-sppmnd-"	8
"v1paoa---"	8
"v3spom---"	8
"a-s---nds"	9
"v-papana-"	9
"v-papann-"	9
"v-pppamv-"	9
"v-sapmfa-"	9
"v-sfpmmn-"	9
"v1saop---"	9
"v2plia---"	9
"v2prim---"	9
"a-p---fnc"	10
"a-s---fas"	10
"a-s---fns"	10
"p2s---md-"	10
"v-papmmd-"	10
"v-papmna-"	10
"v-pappnn-"	10
"v-prpmfg-"	10
"v1stim---"	10
"a-p---mns"	11
"a-p---ngc"	11
"m-p---nd-"	11
"p2s---mg-"	11
"v-pappmd-"	11
"v-pppafg-"	11
"v-pppmfg-"	11
"v-prpmfd-"	11
"v2srma---"	11
"v3paom---"	11
"v3ptim---"	11
"m-p---ca-"	12
"v-pppmmv-"	12
"v-prpang-"	12
"n-p----a-"	13
"v-pppand-"	13
"v-prpann-"	13
"v-srpafa-"	13
"v2slia---"	13
"a-s---mvs"	14
"n-p------"	14
"p1s---mg-"	14
"v-sappmd-"	14
"a-s---fdc"	15
"a-s---mds"	15
"n-p----d-"	15
"p-p---mv-"	15
"v-papmmg-"	15
"v-pappng-"	15
"v-sapafg-"	15
"v-sppand-"	15
"m-p----n-"	16
"v-prpmnd-"	16
"v-srpmnd-"	16
"v1prim---"	16
"a-p---nds"	17
"a-s---nas"	17
"v-sapmfn-"	17
"v-srpann-"	17
"v1ppsm---"	17
"v2saoa---"	17
"p1s---ma-"	18
"v-pppafd-"	18
"v-srpamd-"	18
"v1spsm---"	18
"v2piim---"	18
"v2siim---"	18
"v3paoa---"	18
"a-p---nas"	19
"a-p---nnc"	19
"v-pppmnd-"	19
"v1piim---"	19
"a-s---mdc"	20
"v-papmma-"	20
"d-------s"	21
"v-pappna-"	21
"v-prpana-"	22
"v-sappfa-"	22
"v1saoa---"	22
"p3p---mg-"	23
"v-sapann-"	23
"v-sapmma-"	23
"v-srpmfd-"	23
"a-s---fv-"	24
"v-sppmfd-"	24
"v1slia---"	24
"a-s---mgc"	25
"v2ppsm---"	25
"a-s---fgc"	26
"n-s---cd-"	26
"v-sappfg-"	26
"v-srpafn-"	26
"v-papafn-"	27
"v-sppmng-"	27
"v2spsm---"	27
"n-p----g-"	29
"v-pppmfa-"	29
"v-pppmng-"	29
"v-sappng-"	29
"a-s---mns"	30
"m-s---nd-"	30
"v--fnm---"	30
"v-srpmng-"	30
"v3pamm---"	31
"a-p---mdc"	32
"a-s---mgs"	32
"m-p---cn-"	32
"v-pappmg-"	32
"v-prpmfa-"	32
"v-srpmmd-"	32
"v3slim---"	32
"v-srpana-"	33
"v1pfip---"	33
"a-p---fac"	34
"a-s---mac"	34
"p2s---ma-"	34
"v-sappmg-"	34
"v-sfpamn-"	34
"v3paop---"	34
"m-s---ng-"	35
"n-----md-"	35
"v-prpamd-"	35
"n-----ma-"	36
"v-papamd-"	36
"m-p---fg-"	37
"m-p---md-"	37
"v-pppafa-"	37
"v-prpmng-"	37
"v-sppafd-"	37
"v-srpmmg-"	37
"m-p---fd-"	38
"v-pppmfn-"	38
"v-sappna-"	38
"v-srpamg-"	38
"v1paim---"	38
"a-p---nac"	39
"v-sappma-"	39
"v-sapafa-"	40
"m-p----d-"	41
"m-s---fg-"	41
"n-p---cd-"	41
"n-s---cg-"	41
"v2srim---"	41
"a-s---fac"	42
"l-p---mv-"	42
"p3s---mg-"	43
"v--rnm---"	43
"v1piia---"	43
"m-p---ng-"	44
"v3samm---"	44
"v-pappma-"	45
"v-sapmmg-"	45
"v-sappnn-"	45
"v-sappfn-"	46
"v-sapmfg-"	47
"v3spoa---"	47
"v-sppang-"	49
"v1pasm---"	50
"v3prim---"	50
"v-prpmmd-"	51
"v3ppmm---"	51
"v--fna---"	53
"n-s---ca-"	54
"v2pasm---"	55
"n-s---f--"	56
"v-pppmnn-"	58
"v-sppmfg-"	58
"v3saop---"	59
"v-pppang-"	60
"v1sasm---"	60
"v2sasm---"	62
"v-prpamg-"	63
"v-sppmfa-"	64
"v-sppmna-"	64
"v1spsa---"	64
"p3s---ma-"	65
"v1pasp---"	65
"a-s---mv-"	67
"v-prpmfn-"	67
"v2paim---"	67
"v1sasp---"	68
"n-p---fv-"	71
"a-s---fnc"	73
"v3ppsm---"	73
"v-srpama-"	75
"m-p---mg-"	76
"v-sapamd-"	76
"v-srpmfg-"	76
"v2piia---"	77
"m-s---mg-"	78
"v-prpama-"	78
"a-p---mac"	81
"m-s---na-"	82
"n-s----d-"	82
"v-papama-"	82
"n-----mg-"	83
"n-s---n--"	83
"v1ppsa---"	83
"v3pamp---"	84
"v-pppann-"	85
"n------a-"	86
"n-----mn-"	86
"n-p---nv-"	87
"v3ppma---"	87
"a-p---mgc"	88
"m-s---nn-"	88
"v-sppmmd-"	88
"m-p---nn-"	89
"v-pppmna-"	90
"v1ppim---"	91
"v1srim---"	92
"v3saom---"	92
"v3plia---"	93
"m-s---fd-"	95
"v2spsa---"	95
"a-s---nnc"	97
"v2pamp---"	97
"v3pasm---"	97
"v-srpmna-"	98
"m-s---md-"	99
"a-p---mv-"	100
"v-pppafn-"	100
"v3spsm---"	100
"n------d-"	101
"v2pasp---"	101
"v-papamg-"	102
"n-p---ca-"	103
"n------n-"	105
"n-s---cn-"	105
"v-prpmmg-"	107
"v-pppana-"	109
"v--rna---"	113
"v2ppsa---"	113
"v2siia---"	114
"v-srpmfa-"	115
"v1paip---"	116
"p1p---cn-"	117
"v-sppmnn-"	119
"n-----m--"	120
"v-sppana-"	120
"v2pfip---"	120
"v-srpmnn-"	121
"a-p---fg-"	122
"v-srpmma-"	123
"v3spmm---"	123
"m-s---fn-"	124
"v-prpmnn-"	127
"v-sapama-"	131
"v2paip---"	131
"m-p---fn-"	133
"m-p---fa-"	134
"v-pppmmd-"	136
"v-prpmma-"	137
"v3slia---"	140
"v-sppafg-"	141
"v-sppmmg-"	142
"a-p---mnc"	144
"v1pria---"	146
"v-sppann-"	148
"v1siia---"	148
"m-p---na-"	149
"n-p---cg-"	149
"v-papmmn-"	149
"n-s---nv-"	151
"v3ppsa---"	151
"v-prpmna-"	152
"v1siim---"	152
"a-p---fd-"	153
"v2spim---"	154
"p1p---cd-"	157
"v2saip---"	157
"n-p---cn-"	158
"v2ppim---"	161
"v2pria---"	161
"v3pama---"	161
"v3samp---"	161
"v3pria---"	162
"m-s---fa-"	163
"v-sppmfn-"	164
"p1p---ca-"	165
"v1sfip---"	165
"v2sasp---"	165
"a-s---nac"	169
"v-sapamg-"	170
"v-sppafa-"	173
"v-srpmfn-"	174
"v-sppamd-"	178
"v3pasp---"	179
"v-prpamn-"	180
"v2sfip---"	184
"v-pppmmg-"	187
"v2sria---"	199
"v-sapafn-"	202
"v-pappmn-"	204
"a-s---mnc"	207
"p2s---cn-"	209
"v2pamm---"	213
"v1pfim---"	218
"v-pppmma-"	219
"p2p---cn-"	229
"v2samp---"	231
"v-sppmma-"	233
"n-s---fv-"	234
"v-srpamn-"	234
"m-p---ma-"	235
"v1pfia---"	235
"m-s---ma-"	237
"v2saim---"	246
"p2s---ca-"	247
"p-p---fg-"	253
"p2s---cd-"	256
"d-------c"	263
"v3spma---"	273
"p-p---fn-"	274
"v3sama---"	274
"n------g-"	278
"m-s---mn-"	290
"v1saip---"	290
"v-srpmmn-"	291
"v-pppamd-"	293
"v-sapmmn-"	298
"v-prpmmn-"	301
"v3saoa---"	304
"n-s----a-"	309
"v1saim---"	317
"v2samm---"	318
"n-p---mv-"	342
"a-p---nd-"	345
"v3sasm---"	349
"p-p---fd-"	353
"n-s----n-"	356
"v2ppmm---"	360
"v1spim---"	361
"v-sppafn-"	369
"a-p---fn-"	370
"p1p---cg-"	372
"v1pasa---"	375
"v3spsa---"	375
"p1s---cd-"	385
"p-s---nd-"	395
"v3ppim---"	407
"v-sppama-"	409
"p2p---ca-"	411
"v2spmm---"	413
"v2pfim---"	421
"p1s---ca-"	429
"v-sappmn-"	430
"v-sppamg-"	442
"v1ppia---"	446
"m-p---mn-"	447
"v1sasa---"	453
"v2pasa---"	471
"p1s---cn-"	477
"v3piim---"	492
"v2paia---"	494
"a-p---fa-"	497
"p-p---nd-"	509
"v3sasp---"	524
"v1sria---"	530
"v3pasa---"	532
"v2pfia---"	533
"v3srim---"	533
"v1paia---"	535
"v-pppamg-"	554
"v--anm---"	566
"p2p---cg-"	567
"p2p---cd-"	569
"v3pfip---"	570
"v3sria---"	606
"v-pppmmn-"	620
"v3siim---"	630
"p-p---cn-"	640
"v-pppama-"	640
"v2ppia---"	648
"p2s---cg-"	675
"n-s------"	678
"v--anp---"	679
"p-p---fa-"	684
"p-s---ng-"	705
"a-p---ng-"	722
"v2sfim---"	724
"v2spma---"	740
"p-p---ng-"	756
"v3paim---"	759
"v--pnm---"	766
"v1sfim---"	774
"a-p---md-"	815
"p-p---nn-"	819
"a-s---md-"	824
"p1s---cg-"	836
"v2sasa---"	840
"v2ppma---"	874
"v2spia---"	908
"a-s---ng-"	915
"a-p---nn-"	926
"a-s---fg-"	934
"v-papamn-"	937
"v-sppmmn-"	952
"a-s---nd-"	978
"l-p---nd-"	1030
"a-s---mg-"	1034
"p-s---fn-"	1142
"l-p---fg-"	1153
"a-s---fd-"	1160
"p-p---cd-"	1198
"l-p---fd-"	1201
"l-p---fn-"	1241
"p-p---ca-"	1243
"v3spim---"	1272
"p-s---nn-"	1280
"n-s----g-"	1287
"v3pfim---"	1292
"v3paip---"	1300
"v3pfia---"	1395
"v3ppia---"	1404
"a-s---fn-"	1419
"n-p---nd-"	1426
"v3piia---"	1462
"v3sfip---"	1465
"v2saia---"	1468
"a-s---nn-"	1492
"v2pama---"	1509
"v2sfia---"	1510
"n-s---mv-"	1543
"v1spia---"	1546
"a-p---ma-"	1576
"l-p---nn-"	1624
"a-s---fa-"	1641
"v3sasa---"	1669
"p-s---fd-"	1726
"l-p---ng-"	1792
"i--------"	1808
"v-sapamn-"	1848
"n-p---nn-"	1938
"n-p---fd-"	2002
"a-s---ma-"	2010
"p-p---mn-"	2024
"v-pppamn-"	2027
"a-p---na-"	2035
"a-p---mg-"	2115
"n-p---fg-"	2148
"a-s---na-"	2162
"l-s---nd-"	2170
"v1sfia---"	2185
"n-p---fn-"	2191
"v1saia---"	2392
"n-p---md-"	2453
"v--pna---"	2480
"a-p---mn-"	2493
"n-p---ng-"	2497
"v2sama---"	2530
"v3siia---"	2566
"p-p---md-"	2572
"l-s---nn-"	2588
"l-p---fa-"	2600
"p-s---cd-"	2617
"v3saim---"	2657
"p-s---fa-"	2679
"l-p---md-"	2684
"n-s---nd-"	2849
"p-s---fg-"	2968
"v3saip---"	3049
"p-p---cg-"	3165
"v3sfia---"	3254
"p-s---na-"	3292
"v3sfim---"	3334
"p-p---na-"	3400
"m--------"	3431
"p-s---mn-"	3441
"p-s---cn-"	3498
"v-sppamn-"	3585
"p-s---ca-"	3728
"p-p---ma-"	3819
"p-s---md-"	4010
"a-s---mn-"	4076
"l-s---ng-"	4077
"l-p---ma-"	4199
"l-s---fd-"	4322
"n-s---m--"	4329
"l-p---na-"	4359
"n-s---nn-"	4375
"n-s---ng-"	4380
"l-p---mg-"	4657
"l-s---fn-"	4759
"n-p---na-"	4792
"v--ana---"	4792
"n-p---fa-"	4821
"n-p---ma-"	4989
"n-p---mg-"	5082
"p-s---ma-"	5353
"l-s---md-"	5493
"n-p---mn-"	5613
"l-p---mn-"	5715
"g--------"	5806
"l-s---na-"	5823
"p-p---mg-"	5943
"v3paia---"	6624
"v3spia---"	6631
"n-s---md-"	7116
"l-s---fg-"	7288
"n-s---na-"	7736
"n-s---fd-"	7839
"n--------"	8588
"l-s---fa-"	8693
"l-s---mg-"	8838
"l-s---ma-"	8927
"n-s---fn-"	9196
"p-s---mg-"	11104
"p-s---cg-"	11214
"l-s---mn-"	11375
"b--------"	12558
"n-s---fg-"	13731
"n-s---ma-"	14242
"n-s---fa-"	15925
"n-s---mg-"	17454
"v3saia---"	18390
"n-s---mn-"	23607
"d--------"	28804
"r--------"	65113
"c--------"	80342
